wc_year,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,top_scorer,goal_number
2007,1,Germany,6.0,5.0,1.0,0.0,21.0,0.0,21.0,16.0,1,5
2007,2,Brazil,6.0,5.0,0.0,1.0,17.0,4.0,13.0,15.0,1,7
2007,3,USA,6.0,4.0,1.0,1.0,12.0,7.0,5.0,13.0,1,6
2007,4,Norway,6.0,3.0,1.0,2.0,12.0,11.0,1.0,10.0,1,6
2007,QF,China PR,4.0,2.0,0.0,2.0,5.0,7.0,-2.0,6.0,1,2
2007,QF,Australia,4.0,1.0,2.0,1.0,9.0,7.0,2.0,5.0,1,4
2007,QF,England,4.0,1.0,2.0,1.0,8.0,6.0,2.0,5.0,1,4
2007,QF,Korea DPR,4.0,1.0,1.0,2.0,5.0,7.0,-2.0,4.0,2,1
2007,GR,Canada,3.0,1.0,1.0,1.0,7.0,4.0,3.0,4.0,1,3
2007,GR,Japan,3.0,1.0,1.0,1.0,3.0,4.0,-1.0,4.0,1,2
2007,GR,Sweden,3.0,1.0,1.0,1.0,3.0,4.0,-1.0,4.0,1,2
2007,GR,Denmark,3.0,1.0,0.0,2.0,4.0,4.0,0.0,3.0,1,2
2007,GR,Nigeria,3.0,0.0,1.0,2.0,1.0,4.0,-3.0,1.0,1,1
2007,GR,New Zealand,3.0,0.0,0.0,3.0,0.0,9.0,-9.0,0.0,0,0
2007,GR,Ghana,3.0,0.0,0.0,3.0,3.0,15.0,-12.0,0.0,2,1
2007,GR,Argentina,3.0,0.0,0.0,3.0,1.0,18.0,-17.0,0.0,1,1
