match_id,team,Possession,Passing Accuracy,Shots on Target,Saves,Cards,Fouls,Corners,Crosses,Touches,Tackles,Interceptions,Aerials Won,Clearances,Offsides,Goal Kicks,Throw Ins,Long Balls
1,France,0.66,0.86,0.38,0.0,0,11,13,27,748,11,13,27,748,11,13,27,748
1,Korea Rep,0.34,0.73,0.0,0.5,0,11,1,2,444,11,1,2,444,11,1,2,444
2,Germany,0.58,0.68,0.25,1.0,0,7,8,26,662,7,8,26,662,7,8,26,662
2,China PR,0.42,0.59,0.2,0.75,0,19,3,9,540,19,3,9,540,19,3,9,540
3,Spain,0.72,0.78,0.4,0.5,0,12,5,22,726,12,5,22,726,12,5,22,726
3,South Africa,0.28,0.48,0.4,0.9,0,13,2,6,361,13,2,6,361,13,2,6,361
4,Norway,0.58,0.76,0.4,1.0,0,5,5,13,571,5,5,13,571,5,5,13,571
4,Nigeria,0.42,0.63,0.2,0.5,0,10,5,27,443,10,5,27,443,10,5,27,443
5,Australia,0.62,0.77,0.27,0.33,0,20,6,32,615,20,6,32,615,20,6,32,615
5,Italy,0.38,0.6,0.5,0.75,0,19,3,16,411,19,3,16,411,19,3,16,411
6,Brazil,0.61,0.76,0.33,1.0,0,13,10,19,589,13,10,19,589,13,10,19,589
6,Jamaica,0.39,0.6,0.21,0.5,0,9,3,15,422,9,3,15,422,9,3,15,422
7,England,0.59,0.82,0.38,0.66,0,8,9,29,690,8,9,29,690,8,9,29,690
7,Scotland,0.41,0.77,0.43,0.8,0,8,2,11,536,8,2,11,536,8,2,11,536
8,Argentina,0.3,0.6,0.2,1.0,0,7,0,5,467,7,0,5,467,7,0,5,467
8,Japan,0.7,0.83,0.25,1.0,0,6,5,15,840,6,5,15,840,6,5,15,840
9,Canada,0.73,0.78,0.27,0.0,0,10,10,24,747,10,10,24,747,10,10,24,747
9,Cameroon,0.27,0.52,0.0,0.75,0,12,4,9,376,12,4,9,376,12,4,9,376
10,New Zealand,0.31,0.58,0.6,0.66,0,4,1,4,438,4,1,4,438,4,1,4,438
10,Netherlands,0.69,0.82,0.19,1.0,0,8,8,29,750,8,8,29,750,8,8,29,750
11,Chile,0.31,0.56,0.2,0.66,0,10,0,6,390,10,0,6,390,10,0,6,390
11,Sweden,0.69,0.8,0.25,1.0,0,13,11,29,716,13,11,29,716,13,11,29,716
12,USA,0.72,0.82,0.5,1.0,0,5,10,33,828,5,10,33,828,5,10,33,828
12,Thailand,0.28,0.53,1.0,0.35,0,5,0,1,423,5,0,1,423,5,0,1,423
13,Nigeria,0.37,0.68,0.18,1.0,0,11,3,15,449,11,3,15,449,11,3,15,449
13,Korea Rep,0.63,0.79,0.38,0.5,0,8,6,23,669,8,6,23,669,8,6,23,669
14,Germany,0.38,0.62,0.54,1.0,0,8,2,11,479,8,2,11,479,8,2,11,479
14,Spain,0.62,0.76,0.13,0.85,0,9,7,21,680,9,7,21,680,9,7,21,680
15,France,0.44,0.65,0.33,1.0,0,7,9,31,502,7,9,31,502,7,9,31,502
15,Norway,0.56,0.7,0.25,0.8,0,8,5,15,585,8,5,15,585,8,5,15,585
16,Australia,0.56,0.78,0.45,0.5,0,7,4,21,644,7,4,21,644,7,4,21,644
16,Brazil,0.44,0.75,0.2,0.6,0,7,3,15,556,7,3,15,556,7,3,15,556
17,South Africa,0.48,0.63,0.2,0.66,0,3,3,5,592,3,3,5,592,3,3,5,592
17,China PR,0.52,0.65,0.19,1.0,0,12,7,21,624,12,7,21,624,12,7,21,624
18,Japan,0.5,0.81,0.28,0.75,0,11,6,15,627,11,6,15,627,11,6,15,627
18,Scotland,0.5,0.78,0.33,0.8,0,6,6,16,611,6,6,16,611,6,6,16,611
19,Jamaica,0.44,0.72,0.11,0.33,0,9,4,18,520,9,4,18,520,9,4,18,520
19,Italy,0.56,0.76,0.43,1.0,0,3,7,17,619,3,7,17,619,3,7,17,619
20,England,0.74,0.81,0.38,1.0,0,10,7,26,712,10,7,26,712,10,7,26,712
20,Argentina,0.26,0.51,0.5,0.83,0,10,0,2,348,10,0,2,348,10,0,2,348
21,Netherlands,0.61,0.76,0.36,0.5,0,5,0,15,583,5,0,15,583,5,0,15,583
21,Cameroon,0.39,0.62,0.18,0.25,0,15,3,16,468,15,3,16,468,15,3,16,468
22,Canada,0.68,0.81,0.21,0.0,0,8,8,29,804,8,8,29,804,8,8,29,804
22,New Zealand,0.32,0.57,0.0,0.6,0,5,1,7,433,5,1,7,433,5,1,7,433
23,Sweden,0.72,0.85,0.32,0.66,0,10,6,29,794,10,6,29,794,10,6,29,794
23,Thailand,0.28,0.64,0.6,0.63,0,5,0,5,395,5,0,5,395,5,0,5,395
24,USA,0.71,0.83,0.36,0.0,0,14,15,30,699,14,15,30,699,14,15,30,699
24,Chile,0.29,0.68,0.0,0.66,0,11,1,3,361,11,1,3,361,11,1,3,361
25,South Africa,0.41,0.74,0.17,0.66,0,11,1,7,525,11,1,7,525,11,1,7,525
25,Germany,0.59,0.82,0.52,1.0,0,9,8,18,715,9,8,18,715,9,8,18,715
26,China PR,0.37,0.58,0.0,1.0,0,14,0,5,487,14,0,5,487,14,0,5,487
26,Spain,0.63,0.74,0.38,0.0,0,14,8,27,740,14,8,27,740,14,8,27,740
27,Korea Rep,0.56,0.78,0.27,0.0,0,13,4,23,577,13,4,23,577,13,4,23,577
27,Norway,0.44,0.71,0.0,0.83,0,12,3,2,481,12,3,2,481,12,3,2,481
28,Nigeria,0.29,0.51,0.0,1.0,0,13,2,6,326,13,2,6,326,13,2,6,326
28,France,0.71,0.83,0.14,0.0,0,12,9,31,700,12,9,31,700,12,9,31,700
29,Italy,0.47,0.74,0.36,1.0,0,13,4,12,508,13,4,12,508,13,4,12,508
29,Brazil,0.53,0.73,0.18,1.0,0,15,7,19,560,15,7,19,560,15,7,19,560
30,Jamaica,0.27,0.59,0.3,0.42,0,6,1,6,396,6,1,6,396,6,1,6,396
30,Australia,0.73,0.82,0.58,0.66,0,11,8,34,822,11,8,34,822,11,8,34,822
31,Japan,0.48,0.78,0.25,0.66,0,4,4,12,656,4,4,12,656,4,4,12,656
31,England,0.52,0.78,0.43,1.0,0,11,6,14,702,11,6,14,702,11,6,14,702
32,Scotland,0.51,0.7,0.55,0.75,0,15,5,17,515,15,5,17,515,15,5,17,515
32,Argentina,0.49,0.7,0.4,0.5,0,12,1,7,517,12,1,7,517,12,1,7,517
33,Netherlands,0.49,0.73,0.25,0.5,0,14,0,6,583,14,0,6,583,14,0,6,583
33,Canada,0.51,0.73,0.17,0.0,0,6,1,11,597,6,1,11,597,6,1,11,597
34,Cameroon,0.43,0.62,0.27,1.0,0,15,3,15,494,15,3,15,494,15,3,15,494
34,New Zealand,0.57,0.69,0.11,0.66,0,9,4,11,591,9,4,11,591,9,4,11,591
35,Sweden,0.39,0.68,0.29,0.75,0,10,2,11,523,10,2,11,523,10,2,11,523
35,USA,0.61,0.8,0.25,1.0,0,4,5,21,766,4,5,21,766,4,5,21,766
36,Thailand,0.35,0.61,0.4,0.8,0,10,3,6,463,10,3,6,463,10,3,6,463
36,Chile,0.65,0.81,0.17,1.0,0,7,4,34,740,7,4,34,740,7,4,34,740
37,Germany,0.67,0.77,0.25,1.0,0,16,13,22,592,16,13,22,592,16,13,22,592
37,Nigeria,0.33,0.53,0.25,0.33,0,15,5,15,343,15,5,15,343,15,5,15,343
38,Norway,0.47,0.72,0.3,0.75,0,14,12,28,762,14,12,28,762,14,12,28,762
38,Australia,0.53,0.76,0.21,0.87,0,8,5,32,844,8,5,32,844,8,5,32,844
39,England,0.68,0.77,0.43,1.0,0,4,4,15,753,4,4,15,753,4,4,15,753
39,Cameroon,0.32,0.55,0.33,0.0,0,11,2,11,423,11,2,11,423,11,2,11,423
40,France,0.52,0.68,0.18,0.85,0,10,7,35,688,10,7,35,688,10,7,35,688
40,Brazil,0.48,0.72,0.5,0.33,0,24,4,15,657,24,4,15,657,24,4,15,657
41,Spain,0.45,0.68,0.25,0.0,0,18,2,12,475,18,2,12,475,18,2,12,475
41,USA,0.55,0.76,0.0,0.0,0,4,3,10,567,4,3,10,567,4,3,10,567
42,Sweden,0.41,0.69,0.25,0.0,0,12,3,8,523,12,3,8,523,12,3,8,523
42,Canada,0.59,0.75,0.0,0.5,0,5,8,24,693,5,8,24,693,5,8,24,693
43,Italy,0.38,0.57,0.29,1.0,0,9,0,10,511,9,0,10,511,9,0,10,511
43,China PR,0.62,0.74,0.3,0.6,0,9,9,28,734,9,9,28,734,9,9,28,734
44,Netherlands,0.53,0.79,0.36,0.75,0,8,3,17,726,8,3,17,726,8,3,17,726
44,Japan,0.47,0.78,0.33,0.75,0,8,2,6,652,8,2,6,652,8,2,6,652
45,Norway,0.5,0.79,0.25,0.4,0,11,2,8,609,11,2,8,609,11,2,8,609
45,England,0.5,0.76,0.33,1.0,0,12,5,15,619,12,5,15,619,12,5,15,619
46,France,0.6,0.76,0.25,0.75,0,8,7,22,632,8,7,22,632,8,7,22,632
46,USA,0.4,0.64,0.8,0.8,0,11,3,5,474,11,3,5,474,11,3,5,474
47,Italy,0.37,0.64,0.5,0.77,0,13,2,11,402,13,2,11,402,13,2,11,402
47,Netherlands,0.63,0.8,0.45,1.0,0,16,2,23,610,16,2,23,610,16,2,23,610
48,Germany,0.63,0.76,0.46,0.66,0,6,5,15,684,6,5,15,684,6,5,15,684
48,Sweden,0.37,0.68,0.5,0.83,0,8,3,12,460,8,3,12,460,8,3,12,460
49,England,0.57,0.74,0.6,0.5,0,12,2,8,614,12,2,8,614,12,2,8,614
49,USA,0.43,0.67,0.4,0.66,0,9,2,10,486,9,2,10,486,9,2,10,486
50,Netherlands,0.56,0.73,0.27,1.0,0,13,4,20,850,13,4,20,850,13,4,20,850
50,Sweden,0.44,0.63,0.27,0.75,0,24,12,23,667,24,12,23,667,24,12,23,667
51,England,0.61,0.78,0.21,0.71,0,11,4,25,687,11,4,25,687,11,4,25,687
51,Sweden,0.39,0.66,0.88,0.66,0,11,2,12,473,11,2,12,473,11,2,12,473
52,USA,0.53,0.68,0.56,1.0,0,9,8,20,584,9,8,20,584,9,8,20,584
52,Netherlands,0.47,0.64,0.2,0.88,0,7,2,7,562,7,2,7,562,7,2,7,562
