match_id,team,Possession,Shots on Target,Saves,Fouls,Crosses
1,Netherlands,0.58,0.44,1.0,9,24
1,Norway,0.42,0.33,0.87,8,13
2,Denmark,0.53,0.31,0.75,16,13
2,Belgium,0.47,0.22,0.75,12,18
3,Italy,0.63,0.38,0.33,13,26
3,Russia,0.37,0.38,0.8,21,10
4,Germany,0.61,0.29,1.0,4,22
4,Sweden,0.4,0.22,1.0,4,11
5,Austria,0.37,0.45,1.0,20,8
5,Switzerland,0.63,0.18,0.8,9,15
6,France,0.69,0.21,0.0,10,34
6,Iceland,0.32,0.0,0.75,16,13
7,Spain,0.79,0.53,0.0,7,26
7,Portugal,0.21,0.0,0.6,8,5
8,England,0.57,0.43,1.0,14,18
8,Scotland,0.43,0.38,0.3,7,16
9,Norway,0.53,0.18,0.5,17,24
9,Belgium,0.47,0.44,1.0,20,18
10,Netherlands,0.47,0.25,0.8,12,23
10,Denmark,0.53,0.5,0.8,11,16
11,Sweden,0.7,0.22,1.0,11,34
11,Russia,0.3,0.38,0.6,9,9
12,Germany,0.78,0.38,0.75,7,19
12,Italy,0.22,0.67,0.88,18,17
13,Iceland,0.44,0.11,0.33,22,14
13,Switzerland,0.56,0.43,0.0,12,18
14,France,0.75,0.37,0.66,10,27
14,Austria,0.25,0.43,0.85,14,3
15,Scotland,0.46,0.14,0.5,12,16
15,Portugal,0.54,0.29,0.5,12,9
16,England,0.22,0.5,1.0,11,2
16,Spain,0.78,0.17,0.0,9,15
17,Belgium,0.47,0.38,0.6,19,12
17,Netherlands,0.54,0.56,0.33,14,18
18,Norway,0.57,0.38,0.75,9,22
18,Denmark,0.43,0.44,0.83,10,17
19,Russia,0.23,0.25,0.75,19,7
19,Germany,0.77,0.38,1.0,10,22
20,Sweden,0.47,0.33,0.5,11,28
20,Italy,0.53,0.55,0.25,9,14
21,Iceland,0.51,0.0,0.75,9,16
21,Austria,0.49,0.62,0.0,13,29
22,Switzerland,0.33,0.6,0.75,14,8
22,France,0.67,0.5,0.66,15,26
23,Scotland,0.26,0.25,0.88,11,10
23,Spain,0.74,0.31,0.5,9,27
24,Portugal,0.49,0.67,0.0,11,2
24,England,0.51,0.25,0.5,15,13
25,Netherlands,0.52,0.22,1.0,10,13
25,Sweden,0.48,0.22,0.0,13,13
26,Germany,0.61,0.5,0.5,5,29
26,Denmark,0.39,0.29,0.88,7,20
27,Austria,0.29,0.25,1.0,12,16
27,Spain,0.71,0.24,1.0,10,35
28,England,0.43,0.33,1.0,15,12
28,France,0.57,0.2,0.5,9,21
29,Denmark,0.66,0.47,0.5,24,24
29,Austria,0.35,0.11,1.0,18,17
30,Netherlands,0.54,0.5,0.71,16,13
30,England,0.46,0.41,0.4,12,20
31,Netherlands,0.49,0.67,0.33,16,11
31,Denmark,0.51,0.27,0.33,10,17
