match_id,team,Possession,Passing Accuracy,Shots on Target,Saves,Cards,Fouls,Corners,Crosses,Touches,Tackles,Interceptions,Aerials Won,Clearances,Offsides,Goal Kicks,Throw Ins,Long Balls
1,England,0.59,0.82,0.33,1.0,0,5,5,21,696,22,11,17,20,2,3,23,80
1,Austria,0.41,0.7,0.25,0.8,0,8,4,14,500,12,11,6,15,0,5,30,40
2,Norway,0.65,0.83,0.5,0.5,0,5,9,20,661,14,6,2,13,2,3,28,42
2,Northern Ireland,0.35,0.7,0.29,0.7,0,5,1,11,425,19,9,3,17,1,7,14,51
3,Spain,0.76,0.86,0.39,0.5,0,9,17,37,847,20,9,16,7,1,3,14,51
3,Finland,0.24,0.57,0.5,0.75,0,8,0,5,346,21,13,13,24,0,19,18,48
4,Germany,0.65,0.8,0.41,1.0,0,10,7,20,702,12,11,15,16,4,5,31,58
4,Denmark,0.35,0.63,0.33,0.55,0,10,4,14,434,18,7,10,30,1,7,25,61
5,Portugal,0.57,0.77,0.35,0.0,0,9,9,28,644,20,9,9,13,2,4,18,65
5,Switzerland,0.43,0.68,0.29,0.66,0,12,2,12,515,30,14,15,17,1,11,21,65
6,Netherlands,0.49,0.74,0.33,0.75,0,4,3,9,600,33,11,13,24,1,5,29,72
6,Sweden,0.51,0.78,0.36,0.66,0,7,6,24,621,15,5,9,11,0,6,31,59
7,Belgium,0.54,0.71,0.7,0.75,0,6,2,11,603,23,12,13,36,2,16,22,60
7,Iceland,0.46,0.63,0.18,1.0,0,5,10,26,516,13,15,27,8,2,4,30,80
8,France,0.58,0.84,0.44,0.8,0,8,3,17,662,19,16,14,23,1,3,15,59
8,Italy,0.42,0.77,0.38,0.28,0,11,7,23,504,18,7,7,22,2,8,16,35
9,Austria,0.58,0.71,0.4,1.0,0,7,6,32,560,20,4,12,7,4,0,34,68
9,Northern Ireland,0.42,0.7,0.5,0.75,0,7,3,6,483,18,6,13,38,0,7,20,61
10,England,0.64,0.86,0.54,1.0,0,5,2,20,682,10,8,15,9,1,4,22,61
10,Norway,0.36,0.73,0.25,0.46,0,8,3,10,425,25,8,8,19,1,16,21,51
11,Denmark,0.55,0.79,0.26,1.0,0,8,6,31,710,26,11,13,12,0,8,21,63
11,Finland,0.45,0.75,0.22,0.8,0,4,1,4,609,18,8,10,32,2,10,19,60
12,Germany,0.31,0.62,0.29,1.0,0,16,4,11,470,32,9,12,32,1,11,21,60
12,Spain,0.69,0.82,0.17,0.0,0,9,6,21,853,17,12,11,15,0,4,24,49
13,Sweden,0.55,0.73,0.33,0.66,0,12,3,20,675,19,13,22,7,3,3,35,63
13,Switzerland,0.45,0.67,0.6,0.6,0,14,2,5,577,18,15,7,21,0,14,29,60
14,Netherlands,0.62,0.79,0.31,0.8,0,8,7,16,662,23,12,14,18,4,4,33,72
14,Portugal,0.38,0.68,0.56,0.4,0,11,4,17,456,34,12,11,23,3,9,13,64
15,Italy,0.66,0.75,0.38,0.5,0,9,6,33,652,24,10,19,10,4,5,44,66
15,Iceland,0.34,0.57,0.2,0.87,0,18,1,4,432,21,12,17,45,0,13,21,76
16,France,0.6,0.85,0.23,0.0,0,2,11,32,760,17,15,13,7,2,4,32,76
16,Belgium,0.4,0.76,0.5,0.66,0,8,1,8,563,26,14,3,30,1,16,22,35
17,Northern Ireland,0.23,0.52,0.67,0.33,0,5,0,2,291,20,6,13,26,1,17,14,57
17,England,0.77,0.87,0.22,1.0,0,6,9,23,736,10,9,21,3,2,2,15,55
18,Austria,0.41,0.65,0.44,1.0,0,6,6,24,555,20,12,18,21,1,7,30,71
18,Norway,0.59,0.76,0.25,0.87,0,9,5,18,744,29,11,18,33,0,7,27,62
19,Finland,0.37,0.66,0.0,0.57,0,10,0,4,486,20,9,4,41,0,13,17,68
19,Germany,0.63,0.8,0.21,0.0,0,10,13,36,710,13,12,9,6,0,3,25,59
20,Denmark,0.27,0.57,0.2,0.75,0,7,2,9,416,20,14,15,37,2,14,21,61
20,Spain,0.73,0.84,0.24,1.0,0,2,9,40,900,14,12,12,9,1,5,21,50
21,Switzerland,0.5,0.78,0.57,0.66,0,4,6,19,596,17,8,11,15,0,6,30,50
21,Netherlands,0.5,0.81,0.5,0.87,0,11,2,11,603,21,8,16,24,2,3,20,54
22,Sweden,0.54,0.69,0.47,1.0,0,9,7,23,497,26,13,7,13,4,6,41,52
22,Portugal,0.46,0.71,0.29,0.62,0,11,2,10,475,21,12,7,27,1,7,19,49
23,Iceland,0.38,0.63,0.13,0.75,0,8,6,16,437,11,13,12,20,2,12,24,81
23,France,0.62,0.79,0.22,1.0,0,9,4,17,640,10,11,14,14,4,7,32,71
24,Italy,0.53,0.74,0.3,0.5,0,6,12,37,637,11,8,13,9,4,5,25,57
24,Belgium,0.47,0.74,0.25,1.0,0,8,1,9,599,20,10,14,38,1,7,23,72
25,England,0.43,0.73,0.3,0.75,0,17,5,24,674,28,16,19,34,5,9,30,90
25,Spain,0.57,0.82,0.24,0.33,0,18,8,32,879,25,11,17,27,1,9,19,68
26,Germany,0.6,0.74,0.25,1.0,0,10,7,18,663,29,20,22,19,4,6,23,71
26,Austria,0.4,0.6,0.17,0.6,0,13,6,14,482,21,9,10,18,2,4,29,64
27,Sweden,0.52,0.73,0.27,0.0,0,3,13,28,591,13,10,19,13,2,9,21,68
27,Belgium,0.48,0.7,0.0,0.77,0,6,2,18,546,16,13,16,35,0,21,16,75
28,France,0.51,0.79,0.31,1.0,0,7,10,31,794,31,12,18,21,1,6,23,82
28,Netherlands,0.49,0.78,0.11,1.0,0,15,5,25,753,29,9,14,29,2,17,27,80
29,England,0.57,0.79,0.47,1.0,0,7,4,15,607,23,10,13,25,1,7,12,60
29,Sweden,0.43,0.69,0.25,0.5,0,13,6,29,469,14,10,21,11,1,10,27,61
30,Germany,0.5,0.75,0.36,1.0,0,14,4,14,584,24,8,12,19,1,10,20,58
30,France,0.5,0.74,0.14,0.5,0,8,3,14,574,11,8,12,16,3,6,25,56
31,England,0.49,0.69,0.67,0.8,0,20,8,20,713,18,16,24,32,2,7,38,93
31,Germany,0.51,0.67,0.33,0.75,0,22,7,25,708,31,7,30,30,1,7,22,56
