RK,team,team_short,total_point
1,USA,USA,2090.03
2,Germany,GER,2061.56
3,Sweden,SWE,2049.71
4,England,ENG,2040.76
5,France,FRA,2026.65
6,Spain,ESP,2002.28
7,Canada,CAN,1996.34
8,Brazil,BRA,1995.3
9,Netherlands,NED,1980.47
10,Australia,AUS,1919.69
11,Japan,JPN,1916.68
12,Norway,NOR,1908.25
13,Denmark,DEN,1866.25
14,China PR,CHN,1854.49
15,Iceland,ISL,1854.4
16,Italy,ITA,1846.5
17,Korea Rep,KOR,1840.27
18,Austria,AUT,1813.56
19,Belgium,BEL,1795.67
20,Switzerland,SUI,1765.9
21,Portugal,POR,1745.13
22,Rep. of Ireland,IRL,1743.59
23,Scotland,SCO,1735.87
24,Russia,RUS,1717.06
25,Colombia,COL,1702.64
26,New Zealand,NZL,1699.7
27,Czech Republic,CZE,1690.16
28,Argentina,ARG,1682.45
29,Finland,FIN,1676.76
30,Wales,WAL,1665.82
31,Poland,POL,1662.26
32,Vietnam,VIE,1648.89
33,Ukraine,UKR,1644.63
34,Serbia,SRB,1622.42
35,Mexico,MEX,1621.8
36,Costa Rica,CRC,1596.94
37,Chinese Taipei,TPE,1578.28
38,Romania,ROU,1564.03
39,Slovenia,SVN,1556.25
40,Nigeria,NGA,1554.94
41,Chile,CHI,1553.22
42,Hungary,HUN,1544.83
43,Jamaica,JAM,1536.81
44,Thailand,THA,1530.56
45,Northern Ireland,NIR,1523.83
46,Philippines,PHI,1512.97
47,Slovakia,SVK,1512.7
48,Paraguay,PAR,1505.2
49,Uzbekistan,UZB,1498.55
50,Myanmar,MYA,1487.58
51,Venezuela,VEN,1486.32
52,Panama,PAN,1482.51
53,Haiti,HAI,1475.33
54,South Africa,RSA,1471.52
55,Papua NG,PNG,1469.52
56,Cameroon,CMR,1445.75
57,Belarus,BLR,1443.08
58,Ghana,GHA,1419.63
59,Croatia,CRO,1416.26
60,India,IND,1413.52
61,IR Iran,IRN,1409.89
62,Greece,GRE,1405.82
63,Türkiye,TUR,1388.37
64,Uruguay,URU,1385.45
65,Bosnia & Herz'na,BIH,1382.41
66,Côte d'Ivoire,CIV,1379.39
67,Ecuador,ECU,1376.11
68,Israel,ISR,1358.37
69,Fiji,FIJ,1345.58
70,Equ. Guinea,EQG,1344.47
71,Albania,ALB,1342.43
72,Morocco,MAR,1334.08
73,Jordan,JOR,1322.78
74,Peru,PER,1318.61
75,Trin & Tobago,TRI,1318.11
76,Tunisia,TUN,1298.6
77,Zambia,ZAM,1298.31
78,Hong Kong,HKG,1297.87
79,Azerbaijan,AZE,1290.24
80,Algeria,ALG,1288.27
81,Mali,MLI,1273.24
82,Senegal,SEN,1264.44
83,Guatemala,GUA,1259.69
84,Bahrain,BHR,1254.12
85,Guyana,GUY,1247.77
86,Malta,MLT,1245.35
87,Laos,LAO,1240.52
88,Egypt,EGY,1229.98
89,Malaysia,MAS,1228.66
90,Bulgaria,BUL,1228.25
91,Montenegro,MNE,1224.14
92,Tonga,TGA,1221.48
93,Guam,GUM,1218.07
94,Cuba,CUB,1217.56
95,Lithuania,LTU,1216.59
96,Bolivia,BOL,1213.1
97,Samoa,SAM,1212.01
98,Estonia,EST,1211.02
99,Kazakhstan,KAZ,1205.62
100,Faroe Islands,FRO,1201.16
101,Nepal,NEP,1199.88
102,Kosovo,KOS,1188.46
103,Puerto Rico,PUR,1186.72
104,Solomon Islands,SOL,1181.11
105,Indonesia,IDN,1179.93
106,New Caledonia,NCL,1175.63
107,Tahiti,TAH,1175.09
108,Cook Islands,COK,1174.93
109,Dominican Rep.,DOM,1173.44
110,Congo,CGO,1161.46
111,Moldova,MDA,1161.34
112,Congo DR,COD,1159.0
113,UAE,UAE,1158.26
114,Nicaragua,NCA,1157.63
115,El Salvador,SLV,1148.88
116,Honduras,HON,1145.7
117,Luxembourg,LUX,1145.65
118,Cambodia,CAM,1144.56
119,Latvia,LVA,1142.4
120,Togo,TOG,1138.33
121,Cyprus,CYP,1134.28
122,Vanuatu,VAN,1132.82
123,Gambia,GAM,1129.72
124,Ethiopia,ETH,1117.66
125,Zimbabwe,ZIM,1115.59
126,Georgia,GEO,1113.38
127,Mongolia,MNG,1108.79
128,Kyrgyz Republic,KGZ,1099.57
129,N. Macedonia,MKD,1093.35
130,Palestine,PLE,1091.95
131,Singapore,SGP,1090.86
132,St. Kitts & Nevis,SKN,1090.74
133,Suriname,SUR,1089.15
134,Cape Verde,CPV,1088.27
135,Gabon,GAB,1079.87
136,Guinea,GUI,1075.9
137,Turkmenistan,TKM,1075.41
138,Lebanon,LBN,1062.88
