id,nation,updated_date
0,Albania,2023-08-28 08:55:45.696826+07:00
1,Algeria,2023-08-28 08:55:45.696826+07:00
2,Andorra,2023-08-28 08:55:45.696826+07:00
3,Angola,2023-08-28 08:55:45.696826+07:00
4,Anguilla,2023-08-28 08:55:45.696826+07:00
5,Antigua,2023-08-28 08:55:45.696826+07:00
6,Argentina,2023-08-28 08:55:45.696826+07:00
7,Armenia,2023-08-28 08:55:45.696826+07:00
8,Aruba,2023-08-28 08:55:45.696826+07:00
9,Australia,2023-08-28 08:55:45.696826+07:00
10,Austria,2023-08-28 08:55:45.696826+07:00
11,Azerbaijan,2023-08-28 08:55:45.696826+07:00
12,BVI,2023-08-28 08:55:45.696826+07:00
13,Bahamas,2023-08-28 08:55:45.696826+07:00
14,Bahrain,2023-08-28 08:55:45.696826+07:00
15,Bangladesh,2023-08-28 08:55:45.696826+07:00
16,Barbados,2023-08-28 08:55:45.696826+07:00
17,Belarus,2023-08-28 08:55:45.696826+07:00
18,Belgium,2023-08-28 08:55:45.696826+07:00
19,Belize,2023-08-28 08:55:45.696826+07:00
20,Benin,2023-08-28 08:55:45.696826+07:00
21,Bermuda,2023-08-28 08:55:45.696826+07:00
22,Bhutan,2023-08-28 08:55:45.696826+07:00
23,Bolivia,2023-08-28 08:55:45.696826+07:00
24,Bosnia & Herz'na,2023-08-28 08:55:45.696826+07:00
25,Botswana,2023-08-28 08:55:45.696826+07:00
26,Brazil,2023-08-28 08:55:45.696826+07:00
27,Bulgaria,2023-08-28 08:55:45.696826+07:00
28,Burkina Faso,2023-08-28 08:55:45.696826+07:00
29,Burundi,2023-08-28 08:55:45.696826+07:00
30,Cameroon,2023-08-28 08:55:45.696826+07:00
31,Canada,2023-08-28 08:55:45.696826+07:00
32,Cape Verde,2023-08-28 08:55:45.696826+07:00
33,Cayman Islands,2023-08-28 08:55:45.696826+07:00
34,Chile,2023-08-28 08:55:45.696826+07:00
35,China PR,2023-08-28 08:55:45.696826+07:00
36,Chinese Taipei,2023-08-28 08:55:45.696826+07:00
37,Colombia,2023-08-28 08:55:45.696826+07:00
38,Congo,2023-08-28 08:55:45.696826+07:00
39,Costa Rica,2023-08-28 08:55:45.696826+07:00
40,Croatia,2023-08-28 08:55:45.696826+07:00
41,Cuba,2023-08-28 08:55:45.696826+07:00
42,Curaçao,2023-08-28 08:55:45.696826+07:00
43,Cyprus,2023-08-28 08:55:45.696826+07:00
44,Czech Republic,2023-08-28 08:55:45.696826+07:00
45,Côte d'Ivoire,2023-08-28 08:55:45.696826+07:00
46,Denmark,2023-08-28 08:55:45.696826+07:00
47,Dominica,2023-08-28 08:55:45.696826+07:00
48,Dominican Rep.,2023-08-28 08:55:45.696826+07:00
49,Ecuador,2023-08-28 08:55:45.696826+07:00
50,Egypt,2023-08-28 08:55:45.696826+07:00
51,El Salvador,2023-08-28 08:55:45.696826+07:00
52,England,2023-08-28 08:55:45.696826+07:00
53,Equ. Guinea,2023-08-28 08:55:45.696826+07:00
54,Estonia,2023-08-28 08:55:45.696826+07:00
55,Eswatini,2023-08-28 08:55:45.696826+07:00
56,Ethiopia,2023-08-28 08:55:45.696826+07:00
57,Faroe Islands,2023-08-28 08:55:45.696826+07:00
58,Fiji,2023-08-28 08:55:45.696826+07:00
59,Finland,2023-08-28 08:55:45.696826+07:00
60,France,2023-08-28 08:55:45.696826+07:00
61,Gambia,2023-08-28 08:55:45.696826+07:00
62,Georgia,2023-08-28 08:55:45.696826+07:00
63,Germany,2023-08-28 08:55:45.696826+07:00
64,Ghana,2023-08-28 08:55:45.696826+07:00
65,Gibraltar,2023-08-28 08:55:45.696826+07:00
66,Greece,2023-08-28 08:55:45.696826+07:00
67,Grenada,2023-08-28 08:55:45.696826+07:00
68,Guam,2023-08-28 08:55:45.696826+07:00
69,Guatemala,2023-08-28 08:55:45.696826+07:00
70,Guinea-Bissau,2023-08-28 08:55:45.696826+07:00
71,Guyana,2023-08-28 08:55:45.696826+07:00
72,Haiti,2023-08-28 08:55:45.696826+07:00
73,Honduras,2023-08-28 08:55:45.696826+07:00
74,Hong Kong,2023-08-28 08:55:45.696826+07:00
75,Hungary,2023-08-28 08:55:45.696826+07:00
76,IR Iran,2023-08-28 08:55:45.696826+07:00
77,Iceland,2023-08-28 08:55:45.696826+07:00
78,India,2023-08-28 08:55:45.696826+07:00
79,Indonesia,2023-08-28 08:55:45.696826+07:00
80,Israel,2023-08-28 08:55:45.696826+07:00
81,Italy,2023-08-28 08:55:45.696826+07:00
82,Jamaica,2023-08-28 08:55:45.696826+07:00
83,Japan,2023-08-28 08:55:45.696826+07:00
84,Jordan,2023-08-28 08:55:45.696826+07:00
85,Kazakhstan,2023-08-28 08:55:45.696826+07:00
86,Korea Rep,2023-08-28 08:55:45.696826+07:00
87,Kosovo,2023-08-28 08:55:45.696826+07:00
88,Laos,2023-08-28 08:55:45.696826+07:00
89,Latvia,2023-08-28 08:55:45.696826+07:00
90,Lebanon,2023-08-28 08:55:45.696826+07:00
91,Liberia,2023-08-28 08:55:45.696826+07:00
92,Liechtenstein,2023-08-28 08:55:45.696826+07:00
93,Lithuania,2023-08-28 08:55:45.696826+07:00
94,Luxembourg,2023-08-28 08:55:45.696826+07:00
95,Malaysia,2023-08-28 08:55:45.696826+07:00
96,Maldives,2023-08-28 08:55:45.696826+07:00
97,Mali,2023-08-28 08:55:45.696826+07:00
98,Malta,2023-08-28 08:55:45.696826+07:00
99,Mauritius,2023-08-28 08:55:45.696826+07:00
100,Mexico,2023-08-28 08:55:45.696826+07:00
101,Moldova,2023-08-28 08:55:45.696826+07:00
102,Mongolia,2023-08-28 08:55:45.696826+07:00
103,Montenegro,2023-08-28 08:55:45.696826+07:00
104,Montserrat,2023-08-28 08:55:45.696826+07:00
105,Morocco,2023-08-28 08:55:45.696826+07:00
106,Mozambique,2023-08-28 08:55:45.696826+07:00
107,Myanmar,2023-08-28 08:55:45.696826+07:00
108,N. Macedonia,2023-08-28 08:55:45.696826+07:00
109,Namibia,2023-08-28 08:55:45.696826+07:00
110,Nepal,2023-08-28 08:55:45.696826+07:00
111,Netherlands,2023-08-28 08:55:45.696826+07:00
112,New Zealand,2023-08-28 08:55:45.696826+07:00
113,Nicaragua,2023-08-28 08:55:45.696826+07:00
114,Niger,2023-08-28 08:55:45.696826+07:00
115,Nigeria,2023-08-28 08:55:45.696826+07:00
116,Northern Ireland,2023-08-28 08:55:45.696826+07:00
117,Norway,2023-08-28 08:55:45.696826+07:00
118,Pakistan,2023-08-28 08:55:45.696826+07:00
119,Palestine,2023-08-28 08:55:45.696826+07:00
120,Panama,2023-08-28 08:55:45.696826+07:00
121,Papua NG,2023-08-28 08:55:45.696826+07:00
122,Paraguay,2023-08-28 08:55:45.696826+07:00
123,Peru,2023-08-28 08:55:45.696826+07:00
124,Philippines,2023-08-28 08:55:45.696826+07:00
125,Poland,2023-08-28 08:55:45.696826+07:00
126,Portugal,2023-08-28 08:55:45.696826+07:00
127,Puerto Rico,2023-08-28 08:55:45.696826+07:00
128,Rep. of Ireland,2023-08-28 08:55:45.696826+07:00
129,Romania,2023-08-28 08:55:45.696826+07:00
130,Russia,2023-08-28 08:55:45.696826+07:00
131,Saudi Arabia,2023-08-28 08:55:45.696826+07:00
132,Scotland,2023-08-28 08:55:45.696826+07:00
133,Senegal,2023-08-28 08:55:45.696826+07:00
134,Serbia,2023-08-28 08:55:45.696826+07:00
135,Seychelles,2023-08-28 08:55:45.696826+07:00
136,Sierra Leone,2023-08-28 08:55:45.696826+07:00
137,Singapore,2023-08-28 08:55:45.696826+07:00
138,Slovakia,2023-08-28 08:55:45.696826+07:00
139,Slovenia,2023-08-28 08:55:45.696826+07:00
140,Solomon Islands,2023-08-28 08:55:45.696826+07:00
141,South Africa,2023-08-28 08:55:45.696826+07:00
142,Spain,2023-08-28 08:55:45.696826+07:00
143,St. Kitts & Nevis,2023-08-28 08:55:45.696826+07:00
144,St. Lucia,2023-08-28 08:55:45.696826+07:00
