RK,Team,Total Points
1,Germany,2201
2,USA,2166
3,Norway,2131
4,Sweden,2095
5,China PR,2064
6,Brazil,2042
7,Korea DPR,1994
8,Denmark,1981
9,France,1967
10,Italy,1947
11,Canada,1911
12,Russia,1897
13,England,1861
14,Japan,1841
15,Netherlands,1815
16,Australia,1810
17,Iceland,1796
18,Ukraine,1778
19,Finland,1773
20,Spain,1767
21,New Zealand,1760
22,Chinese Taipei,1746
23,Czech Republic,1741
24,Nigeria,1738
25,Korea Republic,1721
26,Hungary,1717
27,Belgium,1715
28,Switzerland,1697
29,Serbia and Montenegro,1693
30,Scotland,1679
31,Mexico,1674
32,Portugal,1666
33,Poland,1661
34,Romania,1656
35,Slovakia,1615
35,Colombia,1615
37,Republic of Ireland,1613
38,Argentina,1604
39,Peru,1603
40,Trinidad and Tobago,1595
41,Thailand,1587
42,Belarus,1571
43,Vietnam,1569
44,Croatia,1561
45,Costa Rica,1545
46,Myanmar,1538
47,Bulgaria,1529
48,Austria,1522
49,Uzbekistan,1505
50,Ghana,1495
