RK,Team,Total Points,Previous Points
1,USA,2162,2191
2,Germany,2146,2153
3,Brazil,2121,2098
4,Japan,2101,2062
5,Sweden,2085,2043
6,England,1997,1962
7,France,1981,1997
8,Canada,1953,2028
9,Australia,1946,1945
10,Norway,1940,1989
11,Italy,1934,1936
12,Korea DPR,1927,1995
13,Netherlands,1888,1890
13,Denmark,1888,1891
15,China PR,1870,1874
16,Korea Republic,1851,1846
17,Iceland,1848,1846
18,Spain,1816,1816
19,Finland,1811,1813
20,Russia,1809,1811
21,Ukraine,1799,1796
22,Mexico,1792,1781
23,Scotland,1770,1767
24,New Zealand,1752,1750
25,Czech Republic,1739,1746
26,Switzerland,1729,1725
27,Nigeria,1714,1672
28,Thailand,1662,1608
29,Poland,1645,1637
29,Colombia,1645,1621
31,Republic of Ireland,1642,1642
32,Vietnam,1640,1617
33,Hungary,1632,1630
34,Argentina,1616,1616
35,Belgium,1607,1597
36,Portugal,1573,1573
37,Romania,1572,1575
38,Austria,1570,1564
39,Belarus,1566,1574
40,Uzbekistan,1565,1502
41,Chinese Taipei,1556,1584
42,Costa Rica,1533,1535
43,Slovakia,1528,1531
44,Chile,1526,1526
45,Serbia,1525,1522
46,Myanmar,1517,1526
47,Wales,1515,1521
48,Trinidad and Tobago,1502,1529
49,Bulgaria,1493,1495
50,Ecuador,1484,1484
51,Peru,1450,1450
52,Papua New Guinea,1447,1447
53,India,1438,1438
54,Northern Ireland,1437,1385
55,Bulgaria,1434,1493
56,Equatorial Guinea,1431,1431
56,IR Iran,1431,1426
58,Paraguay,1430,1430
59,Greece,1413,1427
