RK,Team,Total Points,Previous Points,+/-
1,USA,2180,2101,79
2,Germany,2059,2072,-13
3,Netherlands,2037,1967,70
4,France,2029,2043,-14
5,England,2027,2049,-22
6,Sweden,2021,1962,59
7,Canada,1976,2006,-30
8,Australia,1965,2003,-38
9,Korea DPR,1940,1940,0
10,Brazil,1938,1944,-6
11,Japan,1937,1991,-54
12,Norway,1917,1915,2
13,Spain,1899,1913,-14
14,Italy,1891,1868,23
15,Denmark,1839,1840,-1
16,China PR,1838,1866,-28
17,Iceland,1822,1806,16
18,Switzerland,1815,1828,-13
19,Belgium,1813,1812,1
20,Korea Republic,1805,1883,-78
21,Austria,1793,1798,-5
22,Scotland,1791,1812,-21
23,New Zealand,1766,1815,-49
24,Ukraine,1708,1714,-6
25,Russia,1704,1713,-9
26,Colombia,1703,1700,3
27,Mexico,1699,1700,-1
28,Czech Republic,1679,1669,10
29,Poland,1675,1676,-1
30,Portugal,1671,1668,3
31,Finland,1668,1665,3
32,Wales,1667,1663,4
33,Republic of Ireland,1666,1666,0
34,Argentina,1664,1626,38
35,Vietnam,1659,1638,21
36,Nigeria,1643,1599,44
37,Costa Rica,1630,1630,0
38,Chile,1621,1589,32
39,Thailand,1616,1658,-42
40,Chinese Taipei,1590,1574,16
41,Cameroon,1552,1499,53
42,Romania,1548,1551,-3
43,Serbia,1546,1539,7
44,Uzbekistan,1542,1545,-3
45,Hungary,1525,1527,-2
46,Myanmar,1521,1530,-9
47,Slovakia,1500,1499,1
48,Paraguay,1494,1494,0
49,South Africa,1486,1485,1
50,Papua New Guinea,1479,1479,0
51,Slovenia,1453,1451,2
51,Jamaica,1453,1449,4
53,Ghana,1452,1452,0
54,Belarus,1446,1436,10
55,Croatia,1440,1433,7
56,Panama,1429,1433,-4
57,India,1422,1392,30
58,Venezuela,1421,1421,0
59,Northern Ireland,1420,1420,0
60,Jordan,1419,1440,-21
