Squad,MP,90s,GA,GA90,SoTA,Saves,Save%,Clean_sheet,CS%,Pen_tol,Pen_save,Pen_save%
Argentina,3,3.0,4,1.33,15,10,73.3,1,33.3,1,1,100.0
Australia,4,4.3,6,1.38,17,11,70.6,0,0.0,1,0,0.0
Brazil,4,4.3,5,1.15,15,11,66.7,2,50.0,0,0,
Cameroon,4,4.0,8,2.0,12,5,33.3,0,0.0,0,0,
Canada,4,4.0,3,0.75,4,1,25.0,2,50.0,0,0,
Chile,3,3.0,5,1.67,17,12,70.6,1,33.3,1,0,
China PR,4,4.0,3,0.75,19,16,84.2,2,50.0,0,0,
England,7,7.0,5,0.71,24,19,79.2,4,57.1,0,0,
France,5,5.3,4,0.75,16,13,75.0,2,40.0,0,0,
Germany,5,5.0,2,0.4,12,10,83.3,4,80.0,0,0,
Italy,5,5.0,4,0.8,24,19,87.5,2,40.0,2,1,50.0
Jamaica,3,3.0,12,4.0,21,8,47.6,0,0.0,2,1,50.0
Japan,4,4.0,5,1.25,16,11,75.0,1,25.0,1,0,0.0
Korea Rep,3,3.0,8,2.67,12,5,50.0,0,0.0,2,0,0.0
Netherlands,7,7.3,5,0.68,28,23,85.7,3,42.9,1,0,0.0
New Zealand,3,3.0,5,1.67,14,9,64.3,0,0.0,0,0,
Nigeria,4,4.0,7,1.75,18,12,72.2,1,25.0,2,0,0.0
Norway,5,5.3,7,1.31,24,16,75.0,1,20.0,2,1,50.0
Scotland,3,3.0,7,2.33,17,11,76.5,0,0.0,3,0,0.0
South Africa,3,3.0,8,2.67,27,19,77.8,0,0.0,2,0,0.0
Spain,4,4.0,4,1.0,11,7,81.8,1,25.0,2,0,0.0
Sweden,7,7.3,6,0.82,22,16,72.7,2,28.6,1,1,100.0
Thailand,3,3.0,20,6.67,37,18,48.6,0,0.0,2,0,0.0
USA,7,7.0,3,0.43,15,11,80.0,4,57.1,1,1,100.0
