Squad,MP,90s,GA,GA90,SoTA,Saves,Save%,Clean_sheet,CS%,Pen_tol,Pen_save,Pen_save%
Austria,4,4.0,3,0.75,14,11,78.6,2,50.0,0,0,
Belgium,4,4.0,4,1.0,27,20,85.2,1,25.0,2,2,100.0
Denmark,3,3.0,5,1.67,15,10,66.7,1,33.3,0,0,
England,6,6.7,2,0.3,17,15,88.2,4,66.7,0,0,
Finland,3,3.0,8,2.67,25,17,72.0,0,0.0,1,0,0.0
France,5,5.3,5,0.94,13,8,69.2,1,20.0,1,0,0.0
Germany,6,6.3,3,0.47,16,14,81.3,4,66.7,0,0,
Iceland,3,3.0,3,1.0,20,17,90.0,0,0.0,1,0,0.0
Italy,3,3.0,7,2.33,11,4,36.4,0,0.0,0,0,
Netherlands,4,4.3,5,1.15,29,24,89.7,0,0.0,2,0,0.0
Northern Ireland,3,3.0,11,3.67,25,15,60.0,0,0.0,1,0,0.0
Norway,3,3.0,10,3.33,24,14,62.5,0,0.0,1,0,0.0
Portugal,3,3.0,10,3.33,16,7,43.8,0,0.0,1,0,0.0
Spain,4,4.3,5,1.15,9,4,44.4,1,25.0,0,0,
Sweden,5,5.0,6,1.2,16,10,62.5,2,40.0,0,0,
Switzerland,3,3.0,8,2.67,20,13,60.0,0,0.0,0,0,
