Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
Argentina,18,3.0,2,17,6,35.3,5.67,2.0,0.06,0.17,24.7,1,1,1
Australia,18,4.3,8,57,20,35.1,13.15,4.62,0.14,0.4,16.1,1,0,1
Brazil,18,4.3,7,53,17,32.1,12.23,3.92,0.09,0.29,19.4,4,2,3
Cameroon,20,4.0,3,43,10,23.3,10.75,2.5,0.07,0.3,22.3,0,0,0
Canada,16,4.0,4,61,11,18.0,15.25,2.75,0.07,0.36,19.1,4,0,1
Chile,18,3.0,1,35,6,17.1,11.67,2.0,0.03,0.17,21.0,1,0,1
China PR,17,4.0,1,42,10,23.8,10.5,2.5,0.02,0.1,18.2,0,0,0
England,22,7.0,13,84,31,36.9,12.0,4.43,0.14,0.39,18.2,2,1,4
France,17,5.3,10,94,24,25.5,17.62,4.5,0.09,0.33,17.3,1,2,2
Germany,19,5.0,10,77,32,41.6,15.4,6.4,0.12,0.28,16.9,3,1,1
Italy,17,5.0,9,56,22,39.3,11.2,4.4,0.14,0.36,20.4,2,1,1
Jamaica,20,3.0,1,33,7,21.2,11.0,2.33,0.03,0.14,20.5,2,0,0
Japan,17,4.0,3,54,15,27.8,13.5,3.75,0.04,0.13,19.2,1,1,1
Korea Rep,19,3.0,1,42,12,28.6,14.0,4.0,0.02,0.08,19.4,2,0,0
Netherlands,16,7.3,11,86,27,31.4,11.73,3.68,0.12,0.37,17.6,4,1,1
New Zealand,17,3.0,0,16,4,25.0,5.33,1.33,0.0,0.0,16.3,0,0,0
Nigeria,20,4.0,1,30,6,20.0,7.5,1.5,0.03,0.17,20.9,2,0,0
Norway,17,5.3,5,59,16,27.1,11.06,3.0,0.05,0.19,19.3,4,2,2
Scotland,19,3.0,5,30,13,43.3,10.0,4.33,0.17,0.38,17.7,0,0,0
South Africa,19,3.0,1,16,4,25.0,5.33,1.33,0.06,0.25,22.8,1,0,0
Spain,19,4.0,4,69,22,31.9,17.25,5.5,0.03,0.09,19.5,3,2,2
Sweden,20,7.3,12,104,37,35.6,14.18,5.05,0.11,0.3,16.0,1,1,1
Thailand,18,3.0,1,12,7,58.3,4.0,2.33,0.08,0.14,22.0,0,0,0
USA,21,7.0,25,125,54,43.2,17.86,7.71,0.18,0.41,16.0,1,3,4
