Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
Austria,16,4.0,3,58,20,34.5,14.5,5.0,0.05,0.15,17.4,0,0,0
Belgium,18,4.0,3,23,10,43.5,5.75,2.5,0.09,0.2,19.2,0,1,1
Denmark,20,3.0,1,35,9,25.7,11.67,3.0,0.03,0.11,17.5,0,0,0
England,18,6.7,21,105,43,41.0,15.75,6.45,0.19,0.47,15.4,1,1,1
Finland,21,3.0,1,14,4,28.6,4.67,1.33,0.07,0.25,23.5,0,0,0
France,20,5.3,9,106,29,27.4,19.87,5.44,0.08,0.28,16.2,1,1,2
Germany,21,6.3,14,108,32,29.6,17.05,5.05,0.13,0.44,16.2,3,0,0
Iceland,21,3.0,3,40,7,17.5,13.33,2.33,0.05,0.29,13.9,1,1,2
Italy,19,3.0,2,54,19,35.2,18.0,6.33,0.04,0.11,17.6,0,0,0
Netherlands,19,4.3,7,52,18,34.6,12.0,4.15,0.13,0.39,18.0,1,0,0
Northern Ireland,21,3.0,1,14,6,42.9,4.67,2.0,0.07,0.17,20.7,0,0,0
Norway,19,3.0,4,32,13,40.6,10.67,4.33,0.09,0.23,17.5,1,1,1
Portugal,19,3.0,4,33,13,39.4,11.0,4.33,0.09,0.23,17.2,1,1,1
Spain,19,4.3,6,77,22,28.6,17.77,5.08,0.06,0.23,16.9,0,1,1
Sweden,20,5.0,8,88,29,33.0,17.6,5.8,0.08,0.24,14.7,0,1,1
Switzerland,20,3.0,4,26,13,50.0,8.67,4.33,0.15,0.31,15.2,0,0,0
