tour_start,Tournament_id,round_idx,Date,Home,Away,score_home,score_away,result,home_point,away_point,home_perf_wm,away_perf_wm,rank_diff,Home_streak_score,Away_streak_score,Home_streak_length,Away_streak_length,Home_diff_score,Away_diff_score
2019,5,1,2019-06-07 00:00:00,France,Korea Rep,4,0,H,2026.65,1840.27,0.8646153846153847,0.23332833333333333,186.3800000000001,,,0,0,,
2019,5,1,2019-06-08 00:00:00,Germany,China PR,1,0,H,2061.56,1854.49,0.7980769230769231,0.1590909090909091,207.06999999999994,,,0,0,,
2019,5,1,2019-06-08 00:00:00,Spain,South Africa,3,1,H,2002.28,1471.52,0.8876438202247191,0.4158415841584158,530.76,,,0,0,,
2019,5,1,2019-06-08 00:00:00,Norway,Nigeria,3,0,H,1908.25,1554.94,0.73125,0.40707964601769914,353.30999999999995,,,0,0,,
2019,5,1,2019-06-09 00:00:00,Australia,Italy,1,2,A,1919.69,1846.5,0.5964766233766233,0.4840909090909091,73.19000000000005,,,0,0,,
2019,5,1,2019-06-09 00:00:00,Brazil,Jamaica,3,0,H,1995.3,1536.81,0.8795216867469879,0.4026376237623762,458.49,,,0,0,,
2019,5,1,2019-06-09 00:00:00,England,Scotland,2,1,H,2040.76,1735.87,0.6804751479289941,0.5882352941176471,304.8900000000001,,,0,0,,
2019,5,1,2019-06-10 00:00:00,Canada,Cameroon,1,0,H,1996.34,1445.75,0.736076712328767,0.3333333333333333,550.5899999999999,,,0,0,,
2019,5,1,2019-06-10 00:00:00,Argentina,Japan,0,0,D,1682.45,1916.68,0.5668971830985916,0.4452054794520548,-234.23000000000002,,,0,0,,
2019,5,1,2019-06-11 00:00:00,New Zealand,Netherlands,0,1,A,1699.7,1980.47,0.2731452380952381,0.5569777777777778,-280.77,,,0,0,,
2019,5,1,2019-06-11 00:00:00,Chile,Sweden,0,2,A,1553.22,2049.71,0.4426229508196721,0.509765625,-496.49,,,0,0,,
2019,5,1,2019-06-11 00:00:00,USA,Thailand,13,0,H,2090.03,1530.56,0.9120339285714286,0.15151515151515152,559.4700000000003,,,0,0,,
2019,5,1,2019-06-12 00:00:00,Nigeria,Korea Rep,2,0,H,1554.94,1840.27,0.4117647058823529,0.23332833333333333,-285.3299999999999,-1.0,-1.0,1,1,-3.0,-4.0
2019,5,1,2019-06-12 00:00:00,Germany,Spain,1,0,H,2061.56,2002.28,0.7980769230769231,0.4742990654205608,59.27999999999997,1.0,1.0,1,1,1.0,2.0
2019,5,1,2019-06-12 00:00:00,France,Norway,2,1,H,2026.65,1908.25,0.8646153846153847,0.2644230769230769,118.40000000000009,1.0,1.0,1,1,4.0,3.0
2019,5,1,2019-06-13 00:00:00,South Africa,China PR,0,1,A,1471.52,1854.49,0.6533333333333333,0.1590909090909091,-382.97,-1.0,-1.0,1,1,-2.0,-1.0
2019,5,1,2019-06-13 00:00:00,Australia,Brazil,3,2,H,1919.69,1995.3,0.5964766233766233,0.5613326086956522,-75.6099999999999,-3.0,1.0,1,1,-1.0,3.0000000000000004
2019,5,1,2019-06-14 00:00:00,England,Argentina,1,0,H,2040.76,1682.45,0.6804751479289941,0.22435897435897437,358.30999999999995,1.0,0.0,1,1,1.0,0.0
2019,5,1,2019-06-14 00:00:00,Jamaica,Italy,0,5,A,1536.81,1846.5,0.4765625,0.4840909090909091,-309.69000000000005,-1.0,3.0,1,1,-3.0000000000000004,1.0
2019,5,1,2019-06-14 00:00:00,Japan,Scotland,2,1,H,1916.68,1735.87,0.8617853658536585,0.5882352941176471,180.81000000000017,0.0,-1.0,1,1,0.0,-1.0
2019,5,1,2019-06-15 00:00:00,Netherlands,Cameroon,3,1,H,1980.47,1445.75,0.8347800000000001,0.3333333333333333,534.72,1.0,-1.0,1,1,1.0,-1.0
2019,5,1,2019-06-15 00:00:00,Canada,New Zealand,2,0,H,1996.34,1699.7,0.736076712328767,0.09743589743589744,296.6399999999999,1.0,-1.0,1,1,1.0,-1.0
2019,5,1,2019-06-16 00:00:00,Sweden,Thailand,5,1,H,2049.71,1530.56,0.6891484126984128,0.15151515151515152,519.1500000000001,1.0,-1.0,1,1,2.0,-13.0
2019,5,1,2019-06-16 00:00:00,USA,Chile,3,0,H,2090.03,1553.22,0.9120339285714286,0.1276531914893617,536.8100000000002,1.0,-1.0,1,1,13.0,-2.0
2019,5,1,2019-06-17 00:00:00,Korea Rep,Norway,1,2,A,1840.27,1908.25,0.59375,0.2644230769230769,-67.98000000000002,-2.2097687138284114,0.4979966504844077,2,2,-2.8104524212311293,0.7550405380745068
2019,5,1,2019-06-17 00:00:00,Nigeria,France,0,1,A,1554.94,2026.65,0.4117647058823529,0.4697802197802198,-471.71000000000004,0.7871101089815858,1.0,2,2,0.18769167154818917,2.4510907102567057
2019,5,1,2019-06-17 00:00:00,South Africa,Germany,0,4,A,1471.52,2061.56,0.6533333333333333,0.515,-590.04,-1.0,1.0,2,2,-1.4499332624175945,1.0
2019,5,1,2019-06-17 00:00:00,China PR,Spain,0,0,D,1854.49,2002.28,0.4482758620689655,0.4742990654205608,-147.78999999999996,0.29811538200799953,0.7990644702054099,2,2,-0.09774285682532982,0.10701703693001846
2019,5,1,2019-06-18 00:00:00,Italy,Brazil,0,1,A,1846.5,1995.3,0.4993292929292929,0.5613326086956522,-148.79999999999995,1.3823129962390306,0.4337390001872308,2,2,2.6443552731798836,0.46770448180667545
